Name,Code,Region,Year,Lat,Long,Colour
S10092017,NS_A,Maritimes,10-Sep,46.558,-60.14983,black
S23092017,NS_B,Maritimes,23/09/2017,46.0235,-58.951,black
S03102017,NS_C,Maritimes,03/10/2017,44.45433,-63.25367,black
S24102017,NS_E,Maritimes,24/10/2017,44.0905,-59.24933,black
S19122017,NS_I,Maritimes,19/12/2017,45.271,-59.77767,black
Cape Breton,CBT,Gulf,17/08/2017,46.7374,-61.3537,black
Bay des Chaleurs 1,BDC1,Gulf,14/05/2018,48.0404,-64.986,black
Bradelle Bank,BBN,Gulf,01/06/2018,47.327,-62.92,black
Carson Canyon,CCN,Newfoundland,01/09/2017,45.48,-48.669,black
Lab2S5440,Lab1,Newfoundland,,53,-52,black
Lab4,Lab4,Newfoundland,,50.5,-52,black
LabMSEX,LabMSEX,Newfoundland,,47,-49,black
Lab3N200,Lab3N200,Newfoundland,,44,-48.7,black
Lab10B,Lab10B,Newfoundland,,45,-55,black
Lab11E,Lab11E,Newfoundland,,46.5,-56.5,black
Lab3B,Lab3B,Newfoundland,,50.5,-56,black
Lab5A,Lab5A,Newfoundland,,49,-53.5,black
Lab6B,Lab6B,Newfoundland,,48,-53.5,black
Lab8A,Lab8A,Newfoundland,,46.5,-53,black
QC1,QC1,Quebec,,49.4,-65,red
QC2,QC2,Quebec,,49.5,-61,red
